raw,ABM,BT_BC,BT_HC,BT_LC,BW,HM,LN,MW,SHW,TM
HIPERS,Hypermarkets,Hypermarkets,Hypermarkets,Hypermarkets,Hypermarkets,Hypermarkets,Hypermarkets,Hypermarkets,Hypermarkets,Hypermarkets
HIPERS + SUPERS,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
SUPERS,Supermarkets,Supermarkets,Supermarkets,Supermarkets,Supermarkets,Supermarkets,Supermarkets,Supermarkets,Supermarkets,Supermarkets
